date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-08-22,Bagerhat,Khulna,22.655478,89.794181,29.35,75,1003,5.66,100,0.0,1,8.53,9.82,34.55,4.58,0.51,197.83
2025-08-22,Bandarban,Chattogram,21.787476,92.412475,25.19,96,1007,1.81,100,0.0,2,6.94,8.9,64.84,0.18,0.12,115.97
2025-08-22,Barguna,Barishal,22.131336,90.117243,28.77,78,1003,6.62,99,0.0,1,7.62,10.21,51.55,0.89,0.17,147.29
2025-08-22,Barishal,Barishal,22.493403,90.354801,28.25,77,1004,4.52,95,0.12,1,7.2,9.1,49.12,1.13,0.18,150.9
2025-08-22,Bhola,Barishal,22.143569,90.790409,27.33,82,1004,7.52,100,0.0,1,7.3,10.08,56.73,0.56,0.15,121.88
2025-08-22,Bogura,Rajshahi,24.850066,89.372843,30.25,70,1002,6.1,77,0.0,3,31.46,34.48,4.68,21.17,8.39,526.17
2025-08-22,Brahmanbaria,Chattogram,23.9606,91.119089,30.06,79,1004,6.17,75,0.0,1,6.17,7.49,41.43,2.21,0.58,173.09
2025-08-22,Chandpur,Chattogram,23.224176,90.6531,30.14,69,1003,6.47,99,0.0,1,6.54,7.24,45.34,1.12,0.42,151.35
2025-08-22,Chapai Nawabganj,Rajshahi,24.599887,88.285047,31.64,64,1001,4.7,88,0.0,3,43.22,49.96,0.49,12.82,20.18,706.85
2025-08-22,Chattogram,Chattogram,22.333778,91.834435,26.41,88,1005,9.23,99,0.0,2,7.99,9.97,60.73,0.21,0.13,109.99
2025-08-22,Chuadanga,Khulna,23.643661,88.846448,27.55,87,1002,4.95,99,0.0,3,48.26,62.15,6.9,20.94,29.05,743.34
2025-08-22,Cox's Bazar,Chattogram,21.176647,92.003505,26.53,89,1006,6.12,100,0.0,2,6.6,10.29,62.47,0.19,0.19,114.53
2025-08-22,Cumilla,Chattogram,23.461061,91.180875,28.77,79,1004,7.64,100,0.0,1,6.02,7.0,47.6,1.39,0.36,150.65
2025-08-22,Dhaka,Dhaka,23.764386,90.389014,28.98,84,1003,5.66,75,0.0,1,8.48,9.96,29.47,3.68,1.33,202.3
2025-08-22,Dinajpur,Rangpur,25.626071,88.634623,28.11,78,1002,4.3,91,0.0,3,47.56,51.56,7.2,18.67,15.78,725.2
2025-08-22,Faridpur,Dhaka,23.604018,89.841554,26.94,85,1003,7.37,97,0.0,2,14.01,16.58,21.69,8.17,4.18,268.67
2025-08-22,Feni,Chattogram,23.01276,91.404923,27.96,83,1004,7.87,99,0.0,1,6.42,7.35,56.28,0.65,0.12,124.47
2025-08-22,Gaibandha,Rangpur,25.086001,89.869644,29.45,75,1003,7.19,97,0.0,2,14.73,16.53,19.05,10.88,1.39,339.1
2025-08-22,Gazipur,Dhaka,23.999756,90.417363,29.01,84,1003,5.66,75,0.0,1,6.96,8.46,31.81,3.82,1.16,199.41
2025-08-22,Gopalganj,Dhaka,23.004994,89.830318,30.5,68,1003,6.11,88,0.0,2,11.55,13.54,29.24,3.89,2.05,220.66
2025-08-22,Habiganj,Sylhet,24.374603,91.414027,25.75,90,1005,5.2,99,0.0,1,7.34,8.58,44.69,3.17,1.83,178.37
