date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-08-23,Bagerhat,Khulna,22.655478,89.794181,26.26,90,1002,2.66,100,0.42,1,8.69,9.99,17.39,9.79,0.68,223.36
2025-08-23,Bandarban,Chattogram,21.787476,92.412475,26.18,98,1006,1.73,100,0.0,1,6.55,8.34,52.36,0.56,0.11,142.88
2025-08-23,Barguna,Barishal,22.131336,90.117243,27.89,84,1002,9.31,100,0.0,1,6.14,9.99,32.74,2.91,0.29,160.65
2025-08-23,Barishal,Barishal,22.493403,90.354801,27.88,82,1002,6.56,100,1.54,1,8.2,10.36,26.24,6.32,0.38,197.96
2025-08-23,Bhola,Barishal,22.143569,90.790409,27.67,81,1003,10.89,100,2.37,1,5.69,9.41,35.09,2.1,0.21,159.58
2025-08-23,Bogura,Rajshahi,24.850066,89.372843,29.59,77,1001,8.16,100,0.0,3,26.24,28.38,1.16,19.65,6.48,522.81
2025-08-23,Brahmanbaria,Chattogram,23.9606,91.119089,30.06,74,1003,6.17,75,0.0,1,8.7,10.07,24.59,5.6,0.63,251.21
2025-08-23,Chandpur,Chattogram,23.224176,90.6531,28.39,82,1002,8.95,100,0.0,2,12.22,12.96,20.74,6.42,0.57,243.14
2025-08-23,Chapai Nawabganj,Rajshahi,24.599887,88.285047,28.72,79,1001,5.64,97,0.0,3,30.12,32.77,0.15,25.04,26.11,497.0
2025-08-23,Chattogram,Chattogram,22.333778,91.834435,27.02,85,1005,6.87,100,0.0,1,6.16,8.03,40.05,1.18,0.12,166.32
2025-08-23,Chuadanga,Khulna,23.643661,88.846448,28.66,82,1001,3.44,97,0.0,3,26.38,31.39,0.25,19.38,13.87,466.42
2025-08-23,Cox's Bazar,Chattogram,21.176647,92.003505,27.2,84,1005,4.67,100,0.0,1,8.27,11.29,51.06,0.6,0.19,145.0
2025-08-23,Cumilla,Chattogram,23.461061,91.180875,26.8,89,1003,8.14,99,0.0,1,9.93,10.9,28.65,4.88,0.45,231.46
2025-08-23,Dhaka,Dhaka,23.764386,90.389014,26.98,94,1002,5.66,75,0.0,2,15.86,17.31,6.54,13.48,2.33,313.13
2025-08-23,Dinajpur,Rangpur,25.626071,88.634623,28.43,77,1002,8.78,77,0.0,2,18.72,20.56,5.52,17.38,8.41,439.08
