date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-08-21,Bagerhat,Khulna,22.655478,89.794181,27.06,87,1005,4.17,100,0.0,1,3.24,4.7,51.68,0.85,0.17,127.39
2025-08-21,Bandarban,Chattogram,21.787476,92.412475,27.59,94,1008,2.38,98,0.0,1,3.11,5.05,53.85,0.15,0.11,104.86
2025-08-21,Barguna,Barishal,22.131336,90.117243,26.04,87,1005,5.2,100,1.94,2,4.67,7.25,61.5,0.32,0.19,110.76
2025-08-21,Barishal,Barishal,22.493403,90.354801,26.54,88,1005,4.77,100,0.0,1,3.34,5.19,56.96,0.38,0.13,111.52
2025-08-21,Bhola,Barishal,22.143569,90.790409,27.24,84,1005,8.79,100,0.0,1,4.79,7.12,57.93,0.32,0.14,112.9
2025-08-21,Bogura,Rajshahi,24.850066,89.372843,31.85,65,1004,4.57,100,0.49,2,12.06,15.4,23.72,13.89,8.1,262.83
2025-08-21,Brahmanbaria,Chattogram,23.9606,91.119089,30.06,74,1005,6.69,75,0.0,1,4.51,5.51,41.53,1.73,0.47,145.66
2025-08-21,Chandpur,Chattogram,23.224176,90.6531,29.03,78,1005,6.58,99,0.32,1,3.37,4.37,42.65,0.74,0.32,121.83
2025-08-21,Chapai Nawabganj,Rajshahi,24.599887,88.285047,32.53,60,1003,3.64,87,0.0,3,32.79,38.71,13.18,19.69,14.15,401.18
2025-08-21,Chattogram,Chattogram,22.333778,91.834435,27.93,83,1007,6.17,100,0.0,1,3.55,5.2,52.56,0.29,0.11,116.7
2025-08-21,Chuadanga,Khulna,23.643661,88.846448,31.62,68,1003,2.75,98,0.0,2,20.48,27.79,14.57,24.22,24.05,422.23
2025-08-21,Cox's Bazar,Chattogram,21.176647,92.003505,27.73,82,1008,8.07,100,0.12,1,3.5,6.13,53.07,0.15,0.18,106.35
2025-08-21,Cumilla,Chattogram,23.461061,91.180875,30.35,74,1005,8.01,94,0.0,1,4.18,5.25,46.19,0.99,0.3,133.54
2025-08-21,Dhaka,Dhaka,23.764386,90.389014,28.98,84,1005,5.66,75,0.0,1,3.55,4.47,38.46,2.16,0.8,133.46
2025-08-21,Dinajpur,Rangpur,25.626071,88.634623,32.49,60,1003,3.85,97,0.0,2,18.05,22.04,14.78,19.35,16.75,295.1
2025-08-21,Faridpur,Dhaka,23.604018,89.841554,28.91,81,1004,6.58,100,0.0,1,4.87,6.21,39.65,3.86,2.91,147.45
2025-08-21,Feni,Chattogram,23.01276,91.404923,29.6,76,1006,8.46,99,0.0,1,3.99,5.14,52.57,0.51,0.12,124.42
2025-08-21,Gaibandha,Rangpur,25.086001,89.869644,31.23,68,1004,4.92,100,0.0,1,4.79,6.66,30.78,5.91,1.26,189.55
2025-08-21,Gazipur,Dhaka,23.999756,90.417363,29.0,84,1005,5.66,75,0.0,1,3.97,5.07,33.99,2.7,0.82,145.89
2025-08-21,Gopalganj,Dhaka,23.004994,89.830318,27.84,84,1004,4.53,98,0.0,1,3.49,4.58,47.83,1.35,1.33,123.25
2025-08-21,Habiganj,Sylhet,24.374603,91.414027,29.51,77,1005,5.8,93,0.0,1,4.97,6.28,41.0,3.31,1.58,168.54
2025-08-21,Jamalpur,Mymensingh,24.925587,89.943668,30.7,71,1004,4.63,99,0.0,1,4.47,6.24,30.81,6.3,1.48,186.48
2025-08-21,Jashore,Khulna,23.166526,89.209442,29.07,80,1004,6.09,97,0.0,1,6.99,8.72,42.5,4.41,4.73,175.26
2025-08-21,Jhalokathi,Barishal,22.56239,90.174282,26.68,88,1005,5.08,100,0.0,1,3.22,5.06,57.72,0.39,0.14,111.53
2025-08-21,Jhenaidah,Khulna,23.544696,89.173194,30.26,75,1004,4.68,100,0.0,2,12.85,16.92,29.22,13.0,13.44,280.06
2025-08-21,Joypurhat,Rajshahi,25.111402,88.98842,32.11,63,1004,4.12,100,0.18,2,21.44,25.89,15.79,20.88,19.64,306.11
2025-08-21,Khagrachhari,Chattogram,23.1078,91.988996,28.09,94,1006,3.09,94,0.0,1,3.6,4.12,55.0,0.52,0.11,119.93
2025-08-21,Khulna,Khulna,22.937209,89.285274,26.2,91,1004,4.8,99,0.0,1,6.23,7.77,43.88,3.28,2.66,165.54
2025-08-21,Kishoreganj,Dhaka,24.433982,90.785723,27.65,85,1005,5.09,98,0.0,1,3.03,4.3,35.9,3.81,0.82,157.13
2025-08-21,Kurigram,Rangpur,25.813013,89.643052,30.87,70,1004,5.76,98,0.0,1,5.82,7.79,30.45,6.07,0.94,201.54
2025-08-21,Kushtia,Khulna,23.898795,89.129554,31.19,69,1004,4.13,99,0.0,2,19.66,26.9,16.37,23.95,23.18,403.81
2025-08-21,Lakshmipur,Chattogram,22.944537,90.827635,29.04,77,1005,7.59,100,0.0,1,3.42,4.96,50.67,0.47,0.14,117.34
2025-08-21,Lalmonirhat,Rangpur,25.916351,89.446139,31.67,66,1004,5.27,97,0.0,1,6.19,8.24,30.45,6.24,0.97,204.44
2025-08-21,Madaripur,Dhaka,23.167518,90.204727,27.87,85,1005,4.18,100,0.0,1,2.83,3.85,47.47,0.64,0.27,113.85
2025-08-21,Magura,Khulna,23.488077,89.420182,28.72,82,1004,5.29,99,0.0,1,6.92,8.79,42.88,5.29,5.94,166.86
2025-08-21,Manikganj,Dhaka,23.832984,89.966688,30.51,72,1004,6.62,100,0.0,1,5.41,6.96,37.04,4.94,3.41,158.63
2025-08-21,Meherpur,Khulna,23.781785,88.636937,31.96,65,1003,2.24,99,0.0,2,22.29,28.83,16.89,19.67,18.05,406.41
2025-08-21,Moulvibazar,Sylhet,24.488082,91.763018,29.79,79,1006,3.59,91,0.0,1,4.41,5.68,37.1,4.11,1.58,173.65
2025-08-21,Munshiganj,Dhaka,23.54838,90.534972,27.78,83,1005,5.12,99,0.0,1,3.42,4.37,40.07,1.4,0.5,127.57
2025-08-21,Mymensingh,Mymensingh,24.888931,90.384519,30.1,74,1005,4.95,100,0.0,1,3.44,4.96,32.96,5.07,1.13,171.84
2025-08-21,Naogaon,Rajshahi,24.807323,88.944545,32.39,61,1003,3.41,98,0.42,2,22.34,27.28,14.48,23.55,18.77,354.56
2025-08-21,Narail,Khulna,25.074884,90.391651,29.17,79,1005,4.51,100,0.0,1,3.78,5.48,32.65,5.14,1.24,177.51
2025-08-21,Narayanganj,Dhaka,23.623673,90.498807,29.01,79,1005,5.78,100,0.0,1,3.69,4.72,37.03,2.05,0.66,136.73
2025-08-21,Narsingdi,Dhaka,23.919715,90.715298,29.8,75,1005,6.81,100,0.0,1,4.07,5.26,32.07,2.54,0.63,149.13
2025-08-21,Natore,Rajshahi,24.413185,88.986668,31.09,70,1004,2.89,99,0.32,2,24.13,30.07,11.87,28.88,17.01,451.48
2025-08-21,Netrokona,Mymensingh,24.891567,90.712533,29.48,76,1005,4.79,98,0.0,1,3.84,5.63,34.78,5.35,1.71,173.05
2025-08-21,Nilphamari,Rangpur,25.933927,88.853459,32.19,62,1004,4.02,95,0.0,2,10.78,13.96,18.08,15.41,13.16,260.28
2025-08-21,Noakhali,Chattogram,22.25408,91.17144,27.54,86,1006,9.46,100,0.24,1,4.36,7.01,53.38,0.36,0.13,116.34
2025-08-21,Pabna,Rajshahi,24.006808,89.244834,31.21,69,1004,4.79,100,0.17,2,13.51,18.08,24.8,16.4,13.05,298.46
2025-08-21,Panchagarh,Rangpur,26.320945,88.547114,31.64,64,1004,3.68,98,0.0,2,16.55,21.63,12.65,10.56,7.01,356.96
2025-08-21,Patuakhali,Barishal,22.008424,90.382683,26.45,84,1005,6.54,100,0.28,2,4.71,7.21,60.31,0.32,0.17,111.48
2025-08-21,Pirojpur,Barishal,22.50956,90.00725,26.47,90,1005,4.99,100,0.0,1,3.22,5.06,57.72,0.39,0.14,111.53
2025-08-21,Rajbari,Dhaka,23.739837,89.570413,28.9,80,1004,5.73,100,0.0,1,7.81,10.16,39.19,7.02,6.87,181.88
2025-08-21,Rajshahi,Rajshahi,24.628543,89.037686,31.71,65,1004,3.21,99,0.6,2,17.68,22.14,18.14,20.71,13.02,340.96
2025-08-21,Rangamati,Chattogram,22.650921,92.181433,28.12,91,1007,3.48,91,0.0,1,3.2,3.87,52.54,0.49,0.07,116.81
2025-08-21,Rangpur,Rangpur,25.637614,89.082638,31.88,64,1004,4.37,99,0.0,2,10.19,13.31,20.76,14.1,11.63,243.4
2025-08-21,Satkhira,Khulna,22.716651,89.074986,26.07,93,1004,4.94,100,0.1,1,7.36,8.55,40.94,3.24,0.97,176.39
2025-08-21,Shariatpur,Dhaka,23.213284,90.348125,27.17,88,1005,5.05,99,0.13,1,2.92,3.68,43.57,0.75,0.36,115.0
2025-08-21,Sherpur,Mymensingh,25.022837,90.014974,30.54,72,1004,4.84,100,0.0,1,3.54,5.07,31.87,4.64,0.78,175.76
2025-08-21,Sirajganj,Rajshahi,24.457224,89.705705,30.33,73,1004,7.28,98,0.12,1,5.03,7.02,29.35,8.71,2.85,198.45
2025-08-21,Sunamganj,Sylhet,25.067103,91.398582,28.14,82,1006,3.85,98,0.0,1,6.75,9.14,27.37,11.67,7.54,235.65
2025-08-21,Sylhet,Sylhet,24.89922,91.868527,28.73,78,1006,2.52,95,0.0,1,2.8,3.75,31.8,5.52,1.02,165.84
2025-08-21,Tangail,Dhaka,24.273851,89.937591,28.79,79,1004,7.61,99,2.73,1,4.37,5.91,32.93,6.38,2.4,173.1
2025-08-21,Thakurgaon,Rangpur,23.773143,90.359163,29.02,84,1005,5.66,75,0.0,1,3.55,4.47,38.46,2.16,0.8,133.46
