date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-08-15,Bagerhat,Khulna,22.655478,89.794181,33.2,57,1003,3.26,79,0.0,1,2.89,4.05,55.33,0.27,0.12,122.6
2025-08-15,Bandarban,Chattogram,21.787476,92.412475,31.54,63,1004,0.98,93,0.0,1,1.5,2.01,39.4,0.22,0.03,98.03
2025-08-15,Barguna,Barishal,22.131336,90.117243,31.22,67,1003,4.98,72,0.0,1,2.75,3.22,56.88,0.36,0.04,124.37
2025-08-15,Barishal,Barishal,22.493403,90.354801,32.44,60,1003,4.56,76,0.0,1,2.58,3.31,52.72,0.22,0.04,115.24
2025-08-15,Bhola,Barishal,22.143569,90.790409,28.71,80,1004,4.69,72,0.0,1,2.38,3.22,55.0,0.21,0.04,117.83
2025-08-15,Bogura,Rajshahi,24.850066,89.372843,32.24,61,1003,3.71,34,0.0,2,12.58,14.9,59.28,3.5,4.13,189.77
2025-08-15,Brahmanbaria,Chattogram,23.9606,91.119089,33.06,70,1004,2.06,75,0.0,1,3.74,4.95,36.56,1.86,0.6,146.56
2025-08-15,Chandpur,Chattogram,23.224176,90.6531,30.71,69,1003,2.69,87,0.0,1,2.27,2.83,38.77,0.8,0.43,122.07
2025-08-15,Chapai Nawabganj,Rajshahi,24.599887,88.285047,32.1,64,1003,4.46,76,0.0,2,23.54,27.87,57.62,10.1,12.66,308.03
2025-08-15,Chattogram,Chattogram,22.333778,91.834435,31.93,70,1004,5.14,40,0.0,1,1.79,2.25,40.41,0.31,0.04,99.87
2025-08-15,Chuadanga,Khulna,23.643661,88.846448,31.83,65,1003,3.28,86,0.0,2,13.83,19.79,51.07,9.97,17.61,284.2
2025-08-15,Cox's Bazar,Chattogram,21.176647,92.003505,28.16,82,1004,5.26,80,0.0,1,2.03,2.43,48.45,0.16,0.03,107.39
2025-08-15,Cumilla,Chattogram,23.461061,91.180875,27.21,84,1004,0.86,100,0.0,1,2.69,3.39,38.85,0.98,0.33,126.05
2025-08-15,Dhaka,Dhaka,23.764386,90.389014,31.98,70,1004,2.57,75,0.0,1,2.79,3.81,37.29,2.24,0.67,145.12
2025-08-15,Dinajpur,Rangpur,25.626071,88.634623,33.13,58,1003,3.24,33,0.0,1,7.27,9.85,26.4,11.59,9.97,218.54
2025-08-15,Faridpur,Dhaka,23.604018,89.841554,30.69,69,1004,3.5,59,0.0,1,4.04,5.22,43.61,2.37,1.77,149.02
2025-08-15,Feni,Chattogram,23.01276,91.404923,29.04,75,1004,1.82,88,0.0,1,2.39,2.87,41.35,0.7,0.2,111.13
2025-08-15,Gaibandha,Rangpur,25.086001,89.869644,32.6,60,1003,2.8,97,0.0,1,8.96,10.83,53.31,2.1,0.83,175.34
2025-08-15,Gazipur,Dhaka,23.999756,90.417363,32.01,70,1004,2.57,75,0.0,1,3.33,4.82,33.73,2.88,0.77,160.32
2025-08-15,Gopalganj,Dhaka,23.004994,89.830318,31.8,63,1003,3.73,80,0.0,1,2.47,3.23,46.4,0.9,1.04,118.21
2025-08-15,Habiganj,Sylhet,24.374603,91.414027,28.51,81,1004,2.11,94,0.0,1,5.54,6.89,41.94,2.67,2.08,153.92
2025-08-15,Jamalpur,Mymensingh,24.925587,89.943668,31.88,62,1003,2.74,100,0.0,1,9.22,10.95,55.68,1.97,0.83,171.65
2025-08-15,Jashore,Khulna,23.166526,89.209442,31.77,66,1003,3.07,58,0.0,1,4.09,5.7,49.84,3.04,4.39,142.86
2025-08-15,Jhalokathi,Barishal,22.56239,90.174282,32.62,58,1003,4.18,81,0.0,1,2.56,3.22,54.14,0.26,0.04,117.8
2025-08-15,Jhenaidah,Khulna,23.544696,89.173194,31.82,65,1003,3.23,82,0.0,1,8.69,12.22,48.37,6.86,10.97,208.73
2025-08-15,Joypurhat,Rajshahi,25.111402,88.98842,32.58,59,1003,3.8,37,0.0,2,10.4,13.21,45.41,7.93,12.22,207.26
2025-08-15,Khagrachhari,Chattogram,23.1078,91.988996,28.35,83,1004,1.28,87,0.0,1,2.82,3.26,42.04,1.49,0.49,115.5
2025-08-15,Khulna,Khulna,22.937209,89.285274,32.5,61,1003,1.97,79,0.0,1,3.78,5.2,53.97,1.7,2.29,135.16
2025-08-15,Kishoreganj,Dhaka,24.433982,90.785723,31.43,64,1004,2.89,77,0.0,1,7.45,9.13,49.74,2.4,1.62,167.49
2025-08-15,Kurigram,Rangpur,25.813013,89.643052,31.3,63,1004,2.02,44,0.0,1,8.9,10.51,44.92,4.07,1.0,198.99
2025-08-15,Kushtia,Khulna,23.898795,89.129554,32.38,61,1003,3.01,96,0.0,2,14.32,19.95,55.0,8.08,15.13,276.84
2025-08-15,Lakshmipur,Chattogram,22.944537,90.827635,30.15,70,1004,3.88,89,0.0,1,2.47,3.2,43.45,0.3,0.12,109.45
2025-08-15,Lalmonirhat,Rangpur,25.916351,89.446139,32.92,57,1003,1.34,36,0.0,1,7.19,8.64,42.9,3.88,0.71,193.99
2025-08-15,Madaripur,Dhaka,23.167518,90.204727,31.17,69,1003,2.31,100,0.0,1,2.29,2.87,43.68,0.5,0.22,114.99
2025-08-15,Magura,Khulna,23.488077,89.420182,31.16,69,1003,2.71,55,0.0,1,4.88,6.35,49.66,2.47,3.99,143.13
2025-08-15,Manikganj,Dhaka,23.832984,89.966688,32.37,60,1003,2.67,73,0.0,1,4.88,6.32,44.11,2.94,1.9,164.56
2025-08-15,Meherpur,Khulna,23.781785,88.636937,31.97,64,1003,3.58,67,0.0,2,14.38,19.87,50.56,10.01,15.78,289.22
2025-08-15,Moulvibazar,Sylhet,24.488082,91.763018,30.52,74,1004,1.16,87,0.0,1,6.26,7.74,44.84,2.38,1.92,153.18
2025-08-15,Munshiganj,Dhaka,23.54838,90.534972,29.69,72,1004,2.61,94,0.0,1,2.58,3.42,37.52,1.45,0.5,132.98
2025-08-15,Mymensingh,Mymensingh,24.888931,90.384519,31.88,63,1003,2.33,72,0.0,1,8.68,10.57,52.62,2.75,1.93,177.67
2025-08-15,Naogaon,Rajshahi,24.807323,88.944545,32.83,58,1003,3.64,57,0.0,2,14.92,18.04,57.89,6.32,10.09,212.96
2025-08-15,Narail,Khulna,25.074884,90.391651,31.89,64,1003,2.21,89,0.0,1,8.99,11.15,51.71,3.18,2.44,185.09
2025-08-15,Narayanganj,Dhaka,23.623673,90.498807,32.01,71,1004,2.93,85,0.0,1,2.95,4.12,35.62,2.17,0.64,146.65
2025-08-15,Narsingdi,Dhaka,23.919715,90.715298,29.27,74,1004,2.97,77,0.0,1,3.54,5.24,31.55,2.74,0.7,161.23
2025-08-15,Natore,Rajshahi,24.413185,88.986668,32.23,64,1003,3.25,100,0.0,2,23.95,27.68,82.86,3.1,5.83,224.36
2025-08-15,Netrokona,Mymensingh,24.891567,90.712533,32.24,61,1003,1.82,70,0.0,1,9.78,12.21,50.81,4.43,4.43,196.25
2025-08-15,Nilphamari,Rangpur,25.933927,88.853459,33.06,58,1003,2.79,24,0.0,1,6.56,8.41,39.14,6.68,6.72,197.31
2025-08-15,Noakhali,Chattogram,22.25408,91.17144,27.92,84,1004,4.66,93,0.0,1,2.44,3.24,48.23,0.16,0.04,107.71
2025-08-15,Pabna,Rajshahi,24.006808,89.244834,32.69,59,1003,2.92,100,0.0,2,13.16,16.6,61.3,4.26,7.29,214.28
2025-08-15,Panchagarh,Rangpur,26.320945,88.547114,32.62,58,1003,2.46,24,0.0,2,14.2,16.79,46.84,5.36,4.0,249.98
2025-08-15,Patuakhali,Barishal,22.008424,90.382683,30.11,74,1004,4.94,50,0.0,1,2.63,3.22,56.26,0.31,0.04,122.2
2025-08-15,Pirojpur,Barishal,22.50956,90.00725,32.88,57,1003,4.04,90,0.0,1,2.56,3.22,54.14,0.26,0.04,117.8
2025-08-15,Rajbari,Dhaka,23.739837,89.570413,32.37,61,1003,2.7,39,0.0,1,6.86,8.68,52.92,2.46,3.92,159.89
2025-08-15,Rajshahi,Rajshahi,24.628543,89.037686,32.56,60,1003,3.5,86,0.0,2,16.95,19.87,68.18,3.79,5.74,204.1
2025-08-15,Rangamati,Chattogram,22.650921,92.181433,29.98,70,1004,0.54,81,0.0,1,2.36,2.87,41.17,0.87,0.11,114.16
2025-08-15,Rangpur,Rangpur,25.637614,89.082638,32.98,59,1003,3.44,43,0.0,1,5.34,7.25,34.35,7.17,6.21,193.93
2025-08-15,Satkhira,Khulna,22.716651,89.074986,31.8,66,1003,3.23,49,0.0,1,3.85,4.95,59.6,0.43,0.21,128.22
2025-08-15,Shariatpur,Dhaka,23.213284,90.348125,31.23,68,1003,2.69,96,0.0,1,2.16,2.63,40.07,0.67,0.31,116.59
