date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-09-03,Bagerhat,Khulna,22.655478,89.794181,30.67,73,1003,7.88,57,2.24,1,7.18,12.21,51.79,0.17,0.14,148.84
2025-09-03,Bandarban,Chattogram,21.787476,92.412475,29.88,83,1005,3.46,64,0.0,1,4.0,6.21,39.75,0.39,0.08,119.87
2025-09-03,Barguna,Barishal,22.131336,90.117243,29.92,75,1004,8.95,79,1.26,1,7.04,12.85,55.26,0.17,0.17,168.1
2025-09-03,Barishal,Barishal,22.493403,90.354801,31.48,66,1004,9.51,47,1.41,1,7.03,11.88,51.19,0.2,0.11,153.17
2025-09-03,Bhola,Barishal,22.143569,90.790409,28.91,82,1004,10.44,67,0.82,1,8.8,13.46,54.15,0.24,0.13,180.63
2025-09-03,Bogura,Rajshahi,24.850066,89.372843,33.82,55,1004,4.77,35,0.0,2,15.57,17.72,57.02,2.85,3.43,173.66
2025-09-03,Brahmanbaria,Chattogram,23.9606,91.119089,33.06,66,1004,2.06,75,0.0,1,4.07,4.91,39.79,1.04,0.82,116.56
2025-09-03,Chandpur,Chattogram,23.224176,90.6531,32.61,61,1004,7.24,19,0.0,1,2.15,3.58,29.69,0.57,0.22,100.0
2025-09-03,Chapai Nawabganj,Rajshahi,24.599887,88.285047,33.96,55,1004,6.73,15,0.0,1,5.4,7.84,22.82,4.9,5.62,176.92
2025-09-03,Chattogram,Chattogram,22.333778,91.834435,30.43,73,1004,5.43,63,0.0,1,3.95,6.08,39.62,0.42,0.08,116.82
2025-09-03,Chuadanga,Khulna,23.643661,88.846448,32.02,68,1003,7.83,28,0.0,1,4.68,7.67,20.14,6.51,9.24,178.93
2025-09-03,Cox's Bazar,Chattogram,21.176647,92.003505,28.59,82,1005,10.05,90,0.0,1,6.94,10.54,44.05,0.63,0.14,158.04
2025-09-03,Cumilla,Chattogram,23.461061,91.180875,33.03,63,1004,2.48,24,0.0,1,2.61,3.57,34.06,0.77,0.4,104.5
2025-09-03,Dhaka,Dhaka,23.764386,90.389014,31.98,66,1004,5.14,40,0.0,1,1.79,2.66,25.45,1.43,0.49,109.33
2025-09-03,Dinajpur,Rangpur,25.626071,88.634623,34.62,53,1004,3.59,22,0.0,2,21.04,23.84,69.61,4.44,8.45,173.82
2025-09-03,Faridpur,Dhaka,23.604018,89.841554,32.61,62,1004,8.98,29,0.0,1,1.86,2.78,24.21,1.72,0.95,114.58
2025-09-03,Feni,Chattogram,23.01276,91.404923,32.86,61,1004,3.91,30,0.0,1,2.56,3.9,35.67,0.67,0.29,103.61
2025-09-03,Gaibandha,Rangpur,25.086001,89.869644,34.25,56,1004,3.17,49,0.0,2,21.88,24.25,77.83,2.01,3.0,179.87
2025-09-03,Gazipur,Dhaka,23.999756,90.417363,32.01,66,1004,5.14,40,0.0,1,1.7,2.42,25.6,1.65,0.62,112.39
2025-09-03,Gopalganj,Dhaka,23.004994,89.830318,32.77,61,1003,9.36,22,0.0,1,4.31,6.7,37.84,0.57,0.6,121.25
2025-09-03,Habiganj,Sylhet,24.374603,91.414027,34.05,60,1004,1.25,15,0.0,1,5.34,6.58,45.72,1.14,1.61,135.33
2025-09-03,Jamalpur,Mymensingh,24.925587,89.943668,33.65,58,1004,3.05,46,0.0,2,17.27,19.3,65.76,2.12,2.43,170.8
2025-09-03,Jashore,Khulna,23.166526,89.209442,31.88,70,1003,9.0,33,0.0,1,4.77,7.23,37.15,1.89,2.69,132.16
2025-09-03,Jhalokathi,Barishal,22.56239,90.174282,31.57,65,1004,9.37,53,1.22,1,7.09,12.12,52.23,0.18,0.13,155.43
2025-09-03,Jhenaidah,Khulna,23.544696,89.173194,32.38,65,1003,8.54,26,0.0,1,4.0,6.08,24.52,4.57,6.3,147.47
2025-09-03,Joypurhat,Rajshahi,25.111402,88.98842,33.98,56,1004,4.12,18,0.0,2,21.12,24.01,72.36,3.27,8.52,177.61
