date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-09-01,Bagerhat,Khulna,22.655478,89.794181,34.35,58,1001,1.29,100,0.0,1,9.97,14.75,52.01,0.65,1.38,150.93
2025-09-01,Bandarban,Chattogram,21.787476,92.412475,32.58,65,1001,1.1,100,0.0,1,2.84,3.33,41.14,0.67,0.11,118.67
2025-09-01,Barguna,Barishal,22.131336,90.117243,32.58,62,1001,0.08,100,0.0,1,6.22,7.18,51.04,0.05,0.03,112.08
2025-09-01,Barishal,Barishal,22.493403,90.354801,33.7,58,1001,2.15,100,0.0,1,7.79,10.0,48.78,0.19,0.33,120.07
2025-09-01,Bhola,Barishal,22.143569,90.790409,29.53,73,1001,1.25,100,0.0,1,6.46,7.31,49.11,0.03,0.02,112.5
2025-09-01,Bogura,Rajshahi,24.850066,89.372843,34.97,50,1001,1.55,55,0.0,2,16.73,20.9,34.19,10.53,8.97,271.89
2025-09-01,Brahmanbaria,Chattogram,23.9606,91.119089,35.06,63,1000,2.06,40,0.0,1,9.96,12.05,36.57,4.51,2.47,184.39
2025-09-01,Chandpur,Chattogram,23.224176,90.6531,32.65,64,1000,1.35,100,0.0,1,4.28,5.57,38.75,1.27,0.8,131.37
2025-09-01,Chapai Nawabganj,Rajshahi,24.599887,88.285047,34.22,52,1001,1.99,28,0.0,3,40.35,45.49,27.28,13.63,13.19,331.25
2025-09-01,Chattogram,Chattogram,22.333778,91.834435,32.93,70,1001,1.54,75,0.0,1,3.2,3.84,40.06,0.21,0.05,118.91
2025-09-01,Chuadanga,Khulna,23.643661,88.846448,32.8,63,1001,1.85,28,0.0,4,55.68,74.85,11.79,31.18,35.37,612.92
2025-09-01,Cox's Bazar,Chattogram,21.176647,92.003505,27.98,84,1001,2.52,100,0.0,1,3.73,4.26,47.58,0.04,0.02,110.78
2025-09-01,Cumilla,Chattogram,23.461061,91.180875,33.97,61,1000,2.26,97,0.0,1,6.55,8.27,38.22,2.35,1.18,155.01
2025-09-01,Dhaka,Dhaka,23.764386,90.389014,33.98,59,1000,4.12,20,0.0,1,9.93,12.05,36.6,3.63,1.32,174.79
2025-09-01,Dinajpur,Rangpur,25.626071,88.634623,34.5,50,1001,3.1,43,0.0,2,23.24,27.88,29.17,18.98,15.92,295.62
2025-09-01,Faridpur,Dhaka,23.604018,89.841554,33.37,58,1001,1.84,73,0.0,2,15.22,18.27,35.01,5.91,3.15,214.42
2025-09-01,Feni,Chattogram,23.01276,91.404923,32.99,67,1000,2.5,98,0.0,1,5.58,7.09,40.89,1.01,0.37,144.57
2025-09-01,Gaibandha,Rangpur,25.086001,89.869644,35.29,52,1001,1.61,49,0.0,1,9.93,12.7,39.47,4.59,1.2,235.54
2025-09-01,Gazipur,Dhaka,23.999756,90.417363,34.01,59,1001,4.12,20,0.0,1,9.27,11.56,36.62,3.87,1.27,181.84
2025-09-01,Gopalganj,Dhaka,23.004994,89.830318,34.12,58,1001,2.02,100,0.0,1,9.52,12.27,40.82,2.98,2.61,147.63
2025-09-01,Habiganj,Sylhet,24.374603,91.414027,35.03,56,1000,1.87,91,0.0,2,20.36,23.21,26.67,15.3,6.48,265.24
2025-09-01,Jamalpur,Mymensingh,24.925587,89.943668,35.02,53,1001,1.25,62,0.0,2,10.38,13.03,39.77,4.8,1.21,232.02
2025-09-01,Jashore,Khulna,23.166526,89.209442,33.07,65,1001,2.35,73,0.0,2,16.87,22.04,38.35,9.29,9.61,203.81
2025-09-01,Jhalokathi,Barishal,22.56239,90.174282,33.92,57,1001,2.03,100,0.0,1,8.08,10.78,49.38,0.2,0.35,120.85
2025-09-01,Jhenaidah,Khulna,23.544696,89.173194,32.98,63,1001,1.98,35,0.0,3,34.78,45.73,22.81,20.96,22.1,380.92
2025-09-01,Joypurhat,Rajshahi,25.111402,88.98842,34.18,53,1001,2.45,43,0.0,3,28.98,35.38,25.98,20.61,31.17,323.96
2025-09-01,Khagrachhari,Chattogram,23.1078,91.988996,35.1,56,1000,0.71,100,0.0,1,5.62,6.97,40.89,1.04,0.41,151.93
2025-09-01,Khulna,Khulna,22.937209,89.285274,33.33,64,1001,1.97,92,0.0,2,13.51,18.51,46.62,5.23,5.91,181.6
2025-09-01,Kishoreganj,Dhaka,24.433982,90.785723,35.53,53,1000,1.5,84,0.0,2,14.61,17.56,35.35,8.42,3.19,216.38
2025-09-01,Kurigram,Rangpur,25.813013,89.643052,32.45,64,1001,4.85,22,0.0,2,19.8,22.47,61.03,3.96,0.88,280.55
2025-09-01,Kushtia,Khulna,23.898795,89.129554,33.6,58,1001,1.4,33,0.0,4,53.93,71.61,14.92,26.88,29.35,619.48
2025-09-01,Lakshmipur,Chattogram,22.944537,90.827635,33.15,62,1000,2.15,100,0.0,1,6.31,7.75,43.62,0.63,0.47,128.88
2025-09-01,Lalmonirhat,Rangpur,25.916351,89.446139,34.06,56,1001,4.37,22,0.0,2,16.49,19.29,62.03,3.94,0.89,268.23
2025-09-01,Madaripur,Dhaka,23.167518,90.204727,33.84,60,1001,2.11,100,0.0,1,6.76,8.67,41.23,1.27,0.83,129.9
2025-09-01,Magura,Khulna,23.488077,89.420182,33.03,60,1001,1.63,46,0.0,2,18.48,22.35,33.24,9.02,7.28,232.43
2025-09-01,Manikganj,Dhaka,23.832984,89.966688,33.36,57,1001,1.72,77,0.0,2,18.06,21.61,34.44,6.75,3.01,245.61
2025-09-01,Meherpur,Khulna,23.781785,88.636937,32.91,61,1001,1.98,32,0.0,4,53.05,68.88,26.63,24.99,29.73,543.76
