date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-09-02,Bagerhat,Khulna,22.655478,89.794181,30.69,71,1002,7.51,100,0.0,1,5.21,8.38,55.08,0.05,0.12,121.85
2025-09-02,Bandarban,Chattogram,21.787476,92.412475,35.4,45,1003,1.18,97,0.0,1,1.98,4.07,30.32,0.18,0.07,107.99
2025-09-02,Barguna,Barishal,22.131336,90.117243,29.3,79,1002,8.08,100,0.0,1,4.53,7.29,56.9,0.05,0.12,112.72
2025-09-02,Barishal,Barishal,22.493403,90.354801,31.18,67,1003,9.07,95,0.0,1,3.88,6.73,54.22,0.05,0.08,109.86
2025-09-02,Bhola,Barishal,22.143569,90.790409,29.03,80,1003,9.46,99,0.0,1,3.18,6.56,48.93,0.07,0.11,101.92
2025-09-02,Bogura,Rajshahi,24.850066,89.372843,32.4,63,1003,4.55,100,0.0,1,4.84,6.18,35.57,3.94,3.06,175.64
2025-09-02,Brahmanbaria,Chattogram,23.9606,91.119089,34.06,62,1004,2.06,40,0.0,1,2.43,3.21,43.85,0.6,0.39,121.33
2025-09-02,Chandpur,Chattogram,23.224176,90.6531,31.53,62,1003,7.15,66,0.0,1,2.57,3.58,42.81,0.31,0.24,109.25
2025-09-02,Chapai Nawabganj,Rajshahi,24.599887,88.285047,32.17,66,1003,6.94,93,0.0,2,17.77,20.81,13.5,14.53,9.56,426.58
2025-09-02,Chattogram,Chattogram,22.333778,91.834435,32.93,62,1003,3.09,40,0.0,1,2.16,5.21,33.32,0.2,0.08,103.49
2025-09-02,Chuadanga,Khulna,23.643661,88.846448,29.57,79,1003,5.42,98,0.0,2,18.35,27.2,13.99,15.85,17.63,389.26
2025-09-02,Cox's Bazar,Chattogram,21.176647,92.003505,29.51,76,1003,7.97,85,0.0,1,3.45,7.43,40.09,0.12,0.13,98.45
2025-09-02,Cumilla,Chattogram,23.461061,91.180875,32.12,64,1004,1.79,58,0.0,1,1.97,2.71,41.12,0.37,0.21,109.69
2025-09-02,Dhaka,Dhaka,23.764386,90.389014,31.98,66,1003,5.14,75,0.0,1,3.29,4.14,45.24,0.81,0.44,131.15
2025-09-02,Dinajpur,Rangpur,25.626071,88.634623,31.52,64,1004,3.37,100,0.0,2,15.51,17.56,19.8,12.78,8.88,315.71
2025-09-02,Faridpur,Dhaka,23.604018,89.841554,30.81,71,1003,7.28,95,0.0,1,3.63,4.62,43.96,1.49,1.34,139.34
2025-09-02,Feni,Chattogram,23.01276,91.404923,32.6,61,1003,0.22,76,0.0,1,1.55,2.81,37.68,0.18,0.06,99.73
2025-09-02,Gaibandha,Rangpur,25.086001,89.869644,33.64,58,1003,3.02,83,0.0,1,3.28,4.47,37.3,2.69,0.91,155.79
2025-09-02,Gazipur,Dhaka,23.999756,90.417363,32.01,66,1003,5.14,75,0.0,1,3.58,4.56,43.64,0.89,0.5,137.37
2025-09-02,Gopalganj,Dhaka,23.004994,89.830318,31.71,65,1003,7.67,99,0.0,1,3.71,5.27,51.5,0.46,0.68,121.84
2025-09-02,Habiganj,Sylhet,24.374603,91.414027,32.2,64,1004,1.37,59,0.0,1,5.04,6.46,53.24,1.18,1.72,138.43
2025-09-02,Jamalpur,Mymensingh,24.925587,89.943668,33.06,60,1004,3.48,79,0.0,1,3.4,4.55,38.57,2.52,0.85,154.13
2025-09-02,Jashore,Khulna,23.166526,89.209442,30.0,77,1003,6.36,99,0.0,1,5.9,8.37,44.89,2.6,3.49,158.19
2025-09-02,Jhalokathi,Barishal,22.56239,90.174282,31.02,68,1003,8.93,100,0.0,1,4.43,7.21,57.39,0.05,0.09,114.54
2025-09-02,Jhenaidah,Khulna,23.544696,89.173194,30.4,75,1003,4.84,99,0.0,2,11.19,16.08,29.43,8.73,10.21,262.57
2025-09-02,Joypurhat,Rajshahi,25.111402,88.98842,32.69,63,1003,4.1,100,0.0,1,7.35,9.08,29.06,7.28,8.51,217.1
