date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-08-31,Bagerhat,Khulna,22.655478,89.794181,33.61,56,1004,0.91,71,0.0,1,8.11,9.75,50.9,0.28,0.19,126.69
2025-08-31,Bandarban,Chattogram,21.787476,92.412475,31.91,63,1004,1.41,78,0.0,1,1.03,1.64,37.16,0.07,0.02,110.88
2025-08-31,Barguna,Barishal,22.131336,90.117243,31.77,63,1005,2.21,29,0.0,1,6.71,7.26,58.12,0.13,0.04,117.81
2025-08-31,Barishal,Barishal,22.493403,90.354801,32.53,58,1004,2.08,50,0.0,1,4.37,5.31,47.98,0.16,0.04,116.09
2025-08-31,Bhola,Barishal,22.143569,90.790409,29.28,73,1005,1.42,17,0.0,1,2.98,3.64,46.02,0.11,0.02,112.61
2025-08-31,Bogura,Rajshahi,24.850066,89.372843,33.49,55,1005,2.07,37,0.0,2,12.29,14.42,49.26,4.05,4.02,176.48
2025-08-31,Brahmanbaria,Chattogram,23.9606,91.119089,32.06,74,1004,2.57,75,0.0,1,3.15,4.47,43.62,0.72,0.45,130.56
2025-08-31,Chandpur,Chattogram,23.224176,90.6531,31.38,67,1005,0.43,49,0.0,1,1.57,2.34,37.06,0.81,0.46,121.27
2025-08-31,Chapai Nawabganj,Rajshahi,24.599887,88.285047,33.58,56,1005,3.3,49,0.2,3,39.21,43.79,85.5,3.8,9.35,238.15
2025-08-31,Chattogram,Chattogram,22.333778,91.834435,29.26,77,1005,3.74,48,0.0,1,1.11,1.55,36.41,0.07,0.02,110.49
2025-08-31,Chuadanga,Khulna,23.643661,88.846448,32.47,63,1004,1.77,81,0.0,3,30.76,38.5,78.73,7.05,15.52,265.98
2025-08-31,Cox's Bazar,Chattogram,21.176647,92.003505,28.26,78,1005,3.46,91,0.0,1,1.42,2.08,37.48,0.06,0.02,108.88
2025-08-31,Cumilla,Chattogram,23.461061,91.180875,33.02,61,1004,1.28,34,0.0,1,2.26,3.36,40.44,0.71,0.33,127.17
2025-08-31,Dhaka,Dhaka,23.764386,90.389014,29.98,79,1004,4.12,75,0.0,1,3.78,4.82,47.58,0.71,0.46,126.82
2025-08-31,Dinajpur,Rangpur,25.626071,88.634623,33.17,58,1005,3.38,37,0.0,3,26.26,29.18,43.18,11.18,11.84,239.55
2025-08-31,Faridpur,Dhaka,23.604018,89.841554,32.48,59,1004,1.48,85,0.0,1,6.39,7.86,52.99,1.03,1.58,135.48
