date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-09-06,Bagerhat,Khulna,22.655478,89.794181,33.38,56,1007,2.57,27,0.0,1,6.76,9.8,54.87,0.12,0.17,130.04
2025-09-06,Bandarban,Chattogram,21.787476,92.412475,32.12,65,1007,1.31,97,0.0,1,5.17,6.27,51.01,0.05,0.02,119.29
2025-09-06,Barguna,Barishal,22.131336,90.117243,32.2,62,1007,4.07,31,0.0,1,4.85,6.74,54.37,0.09,0.04,120.33
2025-09-06,Barishal,Barishal,22.493403,90.354801,34.21,52,1007,3.45,45,0.0,1,4.81,6.65,53.76,0.09,0.04,121.61
2025-09-06,Bhola,Barishal,22.143569,90.790409,29.54,74,1008,3.33,62,0.0,1,4.3,5.76,53.06,0.06,0.03,117.52
2025-09-06,Bogura,Rajshahi,24.850066,89.372843,33.51,57,1007,1.7,13,0.0,3,27.44,31.97,86.11,2.63,6.0,205.18
2025-09-06,Brahmanbaria,Chattogram,23.9606,91.119089,34.06,66,1007,2.57,40,0.0,1,5.92,7.31,55.54,0.52,0.37,137.23
2025-09-06,Chandpur,Chattogram,23.224176,90.6531,32.14,61,1007,2.25,47,0.0,1,4.55,5.53,53.19,0.23,0.32,127.22
2025-09-06,Chapai Nawabganj,Rajshahi,24.599887,88.285047,34.03,56,1007,3.2,15,0.0,2,19.3,22.2,82.47,2.26,5.49,223.48
2025-09-06,Chattogram,Chattogram,22.333778,91.834435,29.34,77,1007,3.85,97,0.0,1,4.56,5.58,55.46,0.07,0.02,119.98
2025-09-06,Chuadanga,Khulna,23.643661,88.846448,32.56,64,1007,2.92,20,0.0,2,17.5,23.77,80.46,5.07,11.5,226.87
2025-09-06,Cox's Bazar,Chattogram,21.176647,92.003505,28.64,81,1008,4.02,76,0.0,1,4.27,5.35,52.22,0.05,0.02,117.42
2025-09-06,Cumilla,Chattogram,23.461061,91.180875,33.62,59,1007,1.31,66,0.0,1,5.35,6.51,55.46,0.3,0.23,130.32
2025-09-06,Dhaka,Dhaka,23.764386,90.389014,32.98,62,1007,2.06,75,0.0,1,4.86,5.94,56.6,0.52,0.38,133.68
2025-09-06,Dinajpur,Rangpur,25.626071,88.634623,34.52,50,1007,1.87,26,0.0,4,57.23,63.92,91.17,9.24,19.59,302.33
2025-09-06,Faridpur,Dhaka,23.604018,89.841554,32.99,58,1007,2.75,22,0.0,2,6.72,8.33,61.55,0.82,1.38,139.58
2025-09-06,Feni,Chattogram,23.01276,91.404923,32.73,62,1007,2.5,86,0.0,1,5.24,6.23,57.76,0.25,0.13,125.88
2025-09-06,Gaibandha,Rangpur,25.086001,89.869644,33.24,59,1007,1.7,38,0.21,2,13.6,16.2,70.39,1.21,1.32,165.61
2025-09-06,Gazipur,Dhaka,23.999756,90.417363,33.01,62,1007,2.06,75,0.0,1,4.86,6.12,56.79,0.63,0.44,136.83
2025-09-06,Gopalganj,Dhaka,23.004994,89.830318,33.85,53,1007,2.32,18,0.0,1,5.44,7.09,53.86,0.51,0.82,127.12
2025-09-06,Habiganj,Sylhet,24.374603,91.414027,34.16,57,1007,1.39,64,0.0,1,6.8,8.36,54.25,1.49,1.48,150.02
2025-09-06,Jamalpur,Mymensingh,24.925587,89.943668,33.1,60,1007,2.01,23,0.1,2,11.59,13.9,68.31,1.24,1.18,160.95
2025-09-06,Jashore,Khulna,23.166526,89.209442,32.25,62,1007,2.47,12,0.0,2,7.8,10.59,62.15,1.48,2.92,142.77
2025-09-06,Jhalokathi,Barishal,22.56239,90.174282,34.29,51,1007,3.12,46,0.0,1,4.97,7.07,53.54,0.1,0.05,122.57
2025-09-06,Jhenaidah,Khulna,23.544696,89.173194,32.4,64,1007,2.87,18,0.0,2,12.13,16.28,72.28,3.23,7.04,180.78
2025-09-06,Joypurhat,Rajshahi,25.111402,88.98842,34.0,56,1007,1.99,24,0.0,3,47.56,54.04,108.1,4.57,16.2,255.85
2025-09-06,Khagrachhari,Chattogram,23.1078,91.988996,33.88,57,1007,1.15,100,0.0,2,5.71,6.62,61.1,0.49,0.25,128.24
2025-09-06,Khulna,Khulna,22.937209,89.285274,32.81,60,1007,2.51,13,0.0,2,7.76,10.78,61.14,0.8,1.56,137.8
2025-09-06,Kishoreganj,Dhaka,24.433982,90.785723,33.8,57,1007,2.01,34,0.0,2,5.35,6.85,60.49,1.05,0.65,143.73
2025-09-06,Kurigram,Rangpur,25.813013,89.643052,32.67,58,1007,1.31,49,0.0,2,22.02,25.48,54.93,3.92,1.87,248.45
2025-09-06,Kushtia,Khulna,23.898795,89.129554,32.79,62,1007,2.97,18,0.0,2,18.02,24.11,81.04,4.45,10.56,221.99
2025-09-06,Lakshmipur,Chattogram,22.944537,90.827635,31.99,61,1007,2.92,67,0.0,1,4.61,5.7,54.72,0.11,0.1,122.85
2025-09-06,Lalmonirhat,Rangpur,25.916351,89.446139,34.33,51,1007,1.84,52,0.0,3,25.2,28.94,59.98,3.99,2.34,246.96
2025-09-06,Madaripur,Dhaka,23.167518,90.204727,33.45,55,1007,2.13,31,0.0,1,4.67,5.87,52.59,0.17,0.15,123.95
2025-09-06,Magura,Khulna,23.488077,89.420182,32.58,61,1007,2.77,17,0.0,2,8.37,10.72,63.74,1.55,3.32,142.85
2025-09-06,Manikganj,Dhaka,23.832984,89.966688,33.87,55,1007,2.9,26,0.0,2,7.48,9.31,65.44,0.88,1.49,145.78
2025-09-06,Meherpur,Khulna,23.781785,88.636937,32.83,62,1007,3.01,17,0.0,2,16.51,21.59,79.84,3.86,8.68,218.26
