date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-08-16,Bagerhat,Khulna,22.655478,89.794181,33.92,54,1001,2.13,74,0.0,2,4.64,5.83,64.55,0.16,0.08,120.64
2025-08-16,Bandarban,Chattogram,21.787476,92.412475,32.58,62,1002,0.93,93,0.0,1,1.87,2.33,43.33,0.16,0.03,104.24
2025-08-16,Barguna,Barishal,22.131336,90.117243,32.48,60,1001,3.7,62,0.0,2,4.32,5.13,66.54,0.14,0.06,124.27
2025-08-16,Barishal,Barishal,22.493403,90.354801,33.7,54,1001,3.46,78,0.0,2,3.35,4.32,60.99,0.14,0.04,116.94
2025-08-16,Bhola,Barishal,22.143569,90.790409,29.28,74,1002,3.28,98,0.0,2,3.19,4.19,61.2,0.13,0.05,116.49
2025-08-16,Bogura,Rajshahi,24.850066,89.372843,33.76,54,1002,2.92,19,0.0,2,10.24,12.16,52.8,3.35,3.42,183.79
2025-08-16,Brahmanbaria,Chattogram,23.9606,91.119089,31.06,74,1001,3.09,75,0.0,1,6.17,7.28,48.31,1.43,0.58,145.93
2025-08-16,Chandpur,Chattogram,23.224176,90.6531,32.07,62,1001,1.14,55,0.0,1,2.26,2.72,44.46,0.52,0.27,114.86
2025-08-16,Chapai Nawabganj,Rajshahi,24.599887,88.285047,33.99,55,1001,3.41,20,0.0,2,18.42,21.08,65.55,3.98,6.4,196.07
2025-08-16,Chattogram,Chattogram,22.333778,91.834435,29.4,74,1002,2.7,100,0.0,1,1.88,2.4,46.36,0.27,0.04,107.64
2025-08-16,Chuadanga,Khulna,23.643661,88.846448,32.39,65,1001,3.04,39,0.0,1,6.63,10.28,39.89,8.0,10.51,193.01
2025-08-16,Cox's Bazar,Chattogram,21.176647,92.003505,28.16,80,1002,4.0,97,0.0,1,1.69,2.29,45.99,0.07,0.04,100.49
2025-08-16,Cumilla,Chattogram,23.461061,91.180875,33.05,62,1001,1.55,62,0.0,1,3.6,4.24,46.13,0.91,0.29,126.36
