date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-09-08,Bagerhat,Khulna,22.655478,89.794181,33.95,54,1006,1.36,79,0.0,1,3.99,7.42,57.23,0.12,0.23,122.94
2025-09-08,Bandarban,Chattogram,21.787476,92.412475,33.53,54,1006,1.47,88,0.0,1,4.7,5.99,47.61,0.06,0.02,120.17
2025-09-08,Barguna,Barishal,22.131336,90.117243,32.45,59,1006,1.88,85,0.0,1,2.13,3.56,58.85,0.03,0.03,112.26
2025-09-08,Barishal,Barishal,22.493403,90.354801,33.91,51,1006,1.02,86,0.0,1,2.29,4.44,55.58,0.05,0.05,114.62
2025-09-08,Bhola,Barishal,22.143569,90.790409,29.5,71,1006,1.11,86,0.0,1,1.52,2.85,55.43,0.03,0.03,111.83
2025-09-08,Bogura,Rajshahi,24.850066,89.372843,34.11,49,1006,0.87,93,0.0,2,18.82,23.76,55.79,6.87,9.9,219.05
2025-09-08,Brahmanbaria,Chattogram,23.9606,91.119089,28.06,94,1006,3.09,75,0.0,1,4.27,6.42,49.33,1.07,0.62,134.63
2025-09-08,Chandpur,Chattogram,23.224176,90.6531,31.82,62,1006,0.81,68,0.0,1,2.05,3.05,49.93,0.41,0.4,119.88
2025-09-08,Chapai Nawabganj,Rajshahi,24.599887,88.285047,34.04,49,1006,1.72,91,0.0,3,26.46,33.71,72.91,3.4,9.98,218.61
2025-09-08,Chattogram,Chattogram,22.333778,91.834435,31.93,58,1006,4.12,75,0.0,1,4.94,6.32,52.17,0.12,0.02,119.91
2025-09-08,Chuadanga,Khulna,23.643661,88.846448,32.18,60,1006,1.5,75,0.0,2,11.54,18.25,46.41,13.22,17.13,260.56
2025-09-08,Cox's Bazar,Chattogram,21.176647,92.003505,28.38,77,1006,3.6,93,0.0,1,2.81,4.14,50.22,0.02,0.02,115.48
2025-09-08,Cumilla,Chattogram,23.461061,91.180875,33.2,60,1006,0.4,59,0.0,1,3.97,5.64,51.99,0.61,0.38,129.27
2025-09-08,Dhaka,Dhaka,23.764386,90.389014,31.98,74,1005,0.0,75,0.0,1,3.82,5.75,50.09,1.33,0.97,129.47
2025-09-08,Dinajpur,Rangpur,25.626071,88.634623,34.16,48,1006,1.93,74,0.0,3,43.53,51.31,48.08,14.2,26.33,284.62
2025-09-08,Faridpur,Dhaka,23.604018,89.841554,32.38,58,1006,1.47,73,0.0,1,5.03,7.25,51.67,2.54,2.62,138.17
2025-09-08,Feni,Chattogram,23.01276,91.404923,32.34,64,1006,0.17,81,0.0,1,4.87,6.51,54.17,0.38,0.21,128.62
2025-09-08,Gaibandha,Rangpur,25.086001,89.869644,34.05,51,1006,1.65,93,0.0,2,23.89,29.62,39.81,7.97,3.93,257.16
2025-09-08,Gazipur,Dhaka,23.999756,90.417363,32.01,74,1006,0.0,75,0.0,1,4.46,6.92,48.19,1.67,1.05,135.7
2025-09-08,Gopalganj,Dhaka,23.004994,89.830318,34.21,54,1006,0.4,57,0.0,1,3.03,5.17,53.37,0.84,1.33,119.46
2025-09-08,Habiganj,Sylhet,24.374603,91.414027,33.8,57,1006,0.74,81,0.0,1,9.1,12.67,37.76,5.1,3.62,187.99
2025-09-08,Jamalpur,Mymensingh,24.925587,89.943668,33.65,53,1006,1.26,93,0.0,2,20.21,25.18,46.54,6.42,3.61,227.97
2025-09-08,Jashore,Khulna,23.166526,89.209442,32.29,62,1006,1.8,42,0.0,1,5.07,7.95,57.03,2.83,4.39,139.35
2025-09-08,Jhalokathi,Barishal,22.56239,90.174282,34.32,51,1006,0.55,84,0.0,1,2.39,4.77,55.78,0.06,0.06,115.18
2025-09-08,Jhenaidah,Khulna,23.544696,89.173194,32.4,62,1006,1.96,45,0.0,1,7.81,12.07,51.23,7.82,10.49,193.32
2025-09-08,Joypurhat,Rajshahi,25.111402,88.98842,33.87,50,1006,1.35,95,0.0,3,28.43,35.07,58.44,8.96,25.01,245.86
2025-09-08,Khagrachhari,Chattogram,23.1078,91.988996,34.1,54,1005,1.56,77,0.0,1,5.69,7.13,52.1,0.65,0.36,134.55
2025-09-08,Khulna,Khulna,22.937209,89.285274,32.78,60,1006,1.5,50,0.0,1,4.85,7.85,59.4,1.5,2.34,132.05
2025-09-08,Kishoreganj,Dhaka,24.433982,90.785723,34.64,52,1005,0.82,78,0.0,2,10.55,14.13,52.41,2.86,1.43,159.59
2025-09-08,Kurigram,Rangpur,25.813013,89.643052,32.95,56,1006,1.47,53,0.0,3,36.53,41.98,58.32,6.75,4.85,309.71
2025-09-08,Kushtia,Khulna,23.898795,89.129554,32.92,58,1006,2.18,74,0.0,2,12.31,18.95,45.58,13.01,16.1,258.06
2025-09-08,Lakshmipur,Chattogram,22.944537,90.827635,31.85,61,1006,1.9,80,0.0,1,2.92,4.58,54.01,0.15,0.13,117.92
2025-09-08,Lalmonirhat,Rangpur,25.916351,89.446139,34.03,49,1006,2.65,71,0.0,3,39.64,45.86,56.87,8.14,6.29,323.37
2025-09-08,Madaripur,Dhaka,23.167518,90.204727,33.48,55,1006,0.13,63,0.0,1,2.11,3.72,51.77,0.23,0.24,115.38
2025-09-08,Magura,Khulna,23.488077,89.420182,32.31,61,1006,1.69,51,0.0,1,6.05,8.75,53.83,3.94,5.4,144.15
2025-09-08,Manikganj,Dhaka,23.832984,89.966688,33.26,54,1006,1.27,86,0.0,1,6.08,8.6,51.41,3.22,2.97,147.65
2025-09-08,Meherpur,Khulna,23.781785,88.636937,32.62,57,1006,1.75,89,0.0,2,12.98,19.07,54.76,9.38,12.62,237.89
2025-09-08,Moulvibazar,Sylhet,24.488082,91.763018,32.65,63,1006,1.39,79,0.0,2,10.72,14.6,31.79,5.68,3.49,207.95
2025-09-08,Munshiganj,Dhaka,23.54838,90.534972,34.13,53,1006,1.7,82,0.0,1,2.81,4.35,49.51,0.8,0.6,123.58
2025-09-08,Mymensingh,Mymensingh,24.888931,90.384519,33.96,54,1006,0.8,97,0.0,2,18.94,23.69,43.43,5.72,2.69,224.33
2025-09-08,Naogaon,Rajshahi,24.807323,88.944545,34.1,50,1006,2.04,88,0.0,2,24.81,31.27,62.1,7.78,20.28,244.13
2025-09-08,Narail,Khulna,25.074884,90.391651,33.9,54,1006,1.36,92,0.0,2,22.59,28.07,36.41,7.26,3.09,256.63
2025-09-08,Narayanganj,Dhaka,23.623673,90.498807,32.01,50,1006,1.37,81,0.0,1,3.63,5.63,48.85,1.23,0.82,129.64
2025-09-08,Narsingdi,Dhaka,23.919715,90.715298,33.92,54,1006,0.74,78,0.0,1,4.15,6.75,46.47,1.51,0.81,134.76
2025-09-08,Natore,Rajshahi,24.413185,88.986668,33.09,57,1006,1.79,93,0.0,2,17.56,23.68,69.43,5.42,10.8,240.66
2025-09-08,Netrokona,Mymensingh,24.891567,90.712533,34.61,52,1005,1.71,91,0.0,2,12.0,15.56,43.3,4.31,1.96,195.5
2025-09-08,Nilphamari,Rangpur,25.933927,88.853459,33.96,50,1006,2.42,77,0.0,3,45.45,53.06,43.49,15.75,24.08,311.59
2025-09-08,Noakhali,Chattogram,22.25408,91.17144,28.54,76,1006,0.14,82,0.0,1,2.68,4.39,54.62,0.02,0.02,114.55
2025-09-08,Pabna,Rajshahi,24.006808,89.244834,33.27,55,1006,1.98,67,0.0,2,11.91,16.75,53.25,7.91,9.56,210.69
2025-09-08,Panchagarh,Rangpur,26.320945,88.547114,33.76,51,1006,1.79,75,0.0,4,53.41,61.46,32.43,11.95,9.21,374.38
2025-09-08,Patuakhali,Barishal,22.008424,90.382683,31.02,65,1006,2.45,87,0.0,1,1.92,3.33,57.71,0.03,0.03,112.12
2025-09-08,Pirojpur,Barishal,22.50956,90.00725,34.14,52,1006,0.7,86,0.0,1,2.39,4.77,55.78,0.06,0.06,115.18
2025-09-08,Rajbari,Dhaka,23.739837,89.570413,33.07,57,1006,1.91,85,0.0,1,7.08,10.02,52.39,4.8,5.63,155.97
2025-09-08,Rajshahi,Rajshahi,24.628543,89.037686,33.65,54,1006,2.03,93,0.0,2,19.13,24.68,62.64,6.28,11.92,227.51
2025-09-08,Rangamati,Chattogram,22.650921,92.181433,32.29,60,1006,0.59,88,0.0,1,5.29,6.43,49.41,1.25,0.12,137.54
2025-09-08,Rangpur,Rangpur,25.637614,89.082638,33.73,50,1006,1.93,76,0.0,3,41.53,49.22,49.43,14.31,22.96,296.28
2025-09-08,Satkhira,Khulna,22.716651,89.074986,32.32,61,1006,1.48,64,0.0,2,4.53,7.05,64.84,0.18,0.26,123.33
2025-09-08,Shariatpur,Dhaka,23.213284,90.348125,31.72,60,1006,0.65,59,0.0,1,1.94,3.08,50.41,0.31,0.33,115.14
2025-09-08,Sherpur,Mymensingh,25.022837,90.014974,33.98,52,1006,0.43,92,0.0,3,27.51,33.97,35.26,8.37,3.52,278.18
2025-09-08,Sirajganj,Rajshahi,24.457224,89.705705,30.52,67,1006,1.14,91,0.0,2,13.52,17.23,60.06,4.1,3.81,179.31
2025-09-08,Sunamganj,Sylhet,25.067103,91.398582,33.7,56,1006,0.54,74,0.0,2,23.16,28.22,13.5,23.21,18.48,425.01
2025-09-08,Sylhet,Sylhet,24.89922,91.868527,33.41,57,1005,0.29,79,0.0,1,9.49,12.62,21.17,10.13,1.86,242.8
2025-09-08,Tangail,Dhaka,24.273851,89.937591,32.45,60,1006,0.4,83,0.0,2,10.6,13.72,57.13,3.29,2.97,162.32
2025-09-08,Thakurgaon,Rangpur,23.773143,90.359163,32.02,74,1005,0.0,75,0.0,1,3.82,5.75,50.09,1.33,0.97,129.47
